"filename", "language", "JSON", "HTML", "Ignore", "JavaScript", "JSON with Comments", "TypeScript", "SCSS", "BibTeX", "LaTeX", "TypeScript JSX", "XML", "comment", "blank", "total"
"d:\projectCode\online-programming-learning-platform\.prettierignore", "Ignore", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"d:\projectCode\online-programming-learning-platform\.prettierrc.cjs", "JavaScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 14, 1, 32
"d:\projectCode\online-programming-learning-platform\README\main.tex", "LaTeX", 0, 0, 0, 0, 0, 0, 0, 0, 511, 0, 0, 1, 111, 623
"d:\projectCode\online-programming-learning-platform\README\references.bib", "BibTeX", 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 10, 79
"d:\projectCode\online-programming-learning-platform\index.html", "HTML", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 22
"d:\projectCode\online-programming-learning-platform\package-lock.json", "JSON", 3717, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3718
"d:\projectCode\online-programming-learning-platform\package.json", "JSON", 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 67
"d:\projectCode\online-programming-learning-platform\postcss.config.cjs", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"d:\projectCode\online-programming-learning-platform\public\fav.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\projectCode\online-programming-learning-platform\server\index.cjs", "JavaScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"d:\projectCode\online-programming-learning-platform\server\package.json", "JSON", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"d:\projectCode\online-programming-learning-platform\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 81, 0, 1, 7, 89
"d:\projectCode\online-programming-learning-platform\src\api\CompetitionRandom.ts", "TypeScript", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 8, 30
"d:\projectCode\online-programming-learning-platform\src\api\Letter.ts", "TypeScript", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 5, 16
"d:\projectCode\online-programming-learning-platform\src\api\article.ts", "TypeScript", 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 7, 22, 95
"d:\projectCode\online-programming-learning-platform\src\api\category.ts", "TypeScript", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 6, 23
"d:\projectCode\online-programming-learning-platform\src\api\chat.ts", "TypeScript", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 6, 21
"d:\projectCode\online-programming-learning-platform\src\api\chatGPT.ts", "TypeScript", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 6, 20
"d:\projectCode\online-programming-learning-platform\src\api\comment.ts", "TypeScript", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 1, 10, 37
"d:\projectCode\online-programming-learning-platform\src\api\competition.ts", "TypeScript", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 3, 17, 73
"d:\projectCode\online-programming-learning-platform\src\api\competitionMixture.ts", "TypeScript", 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 10, 65
"d:\projectCode\online-programming-learning-platform\src\api\competitionStandardMixture.ts", "TypeScript", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 6, 22
"d:\projectCode\online-programming-learning-platform\src\api\file.ts", "TypeScript", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 12, 44
"d:\projectCode\online-programming-learning-platform\src\api\form.ts", "TypeScript", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 1, 6, 21
"d:\projectCode\online-programming-learning-platform\src\api\friend.ts", "TypeScript", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 4, 14
"d:\projectCode\online-programming-learning-platform\src\api\group.ts", "TypeScript", 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 3, 17, 64
"d:\projectCode\online-programming-learning-platform\src\api\hack.ts", "TypeScript", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 3, 8
"d:\projectCode\online-programming-learning-platform\src\api\heart.ts", "TypeScript", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 5, 18
"d:\projectCode\online-programming-learning-platform\src\api\img.ts", "TypeScript", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 3, 8
"d:\projectCode\online-programming-learning-platform\src\api\message.ts", "TypeScript", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 9, 32
"d:\projectCode\online-programming-learning-platform\src\api\noticeboard.ts", "TypeScript", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 7, 24
"d:\projectCode\online-programming-learning-platform\src\api\post.ts", "TypeScript", 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 6, 21, 83
"d:\projectCode\online-programming-learning-platform\src\api\problem.ts", "TypeScript", 0, 0, 0, 0, 0, 91, 0, 0, 0, 0, 0, 8, 34, 133
"d:\projectCode\online-programming-learning-platform\src\api\problemNew.ts", "TypeScript", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 8, 28
"d:\projectCode\online-programming-learning-platform\src\api\program.ts", "TypeScript", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 6, 20
"d:\projectCode\online-programming-learning-platform\src\api\record.ts", "TypeScript", 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 8, 55
"d:\projectCode\online-programming-learning-platform\src\api\remark.ts", "TypeScript", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 2, 9, 31
"d:\projectCode\online-programming-learning-platform\src\api\reply.ts", "TypeScript", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 1, 8, 29
"d:\projectCode\online-programming-learning-platform\src\api\tag.ts", "TypeScript", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 5, 16
"d:\projectCode\online-programming-learning-platform\src\api\test.ts", "TypeScript", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 3, 8
"d:\projectCode\online-programming-learning-platform\src\api\thread.ts", "TypeScript", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 1, 7, 28
"d:\projectCode\online-programming-learning-platform\src\api\topic.ts", "TypeScript", 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 2, 13, 60
"d:\projectCode\online-programming-learning-platform\src\api\translator.ts", "TypeScript", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 3, 8
"d:\projectCode\online-programming-learning-platform\src\api\user.ts", "TypeScript", 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 21, 89
"d:\projectCode\online-programming-learning-platform\src\assets\Login.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\projectCode\online-programming-learning-platform\src\assets\copper.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 459, 0, 55, 514
"d:\projectCode\online-programming-learning-platform\src\assets\diamond.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 318, 0, 38, 356
"d:\projectCode\online-programming-learning-platform\src\assets\gold.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 359, 0, 42, 401
"d:\projectCode\online-programming-learning-platform\src\assets\iconfont\iconfont.js", "JavaScript", 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 1, 67
"d:\projectCode\online-programming-learning-platform\src\assets\login1.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61977, 0, 1, 61978
"d:\projectCode\online-programming-learning-platform\src\assets\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 301, 0, 33, 334
"d:\projectCode\online-programming-learning-platform\src\assets\louti.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 117, 1, 17, 135
"d:\projectCode\online-programming-learning-platform\src\assets\medal\ac_1.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 272, 0, 32, 304
"d:\projectCode\online-programming-learning-platform\src\assets\medal\ac_2.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 217, 0, 26, 243
"d:\projectCode\online-programming-learning-platform\src\assets\medal\ac_3.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 267, 0, 31, 298
"d:\projectCode\online-programming-learning-platform\src\assets\medal\ac_4.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 242, 0, 29, 271
"d:\projectCode\online-programming-learning-platform\src\assets\package.json", "JSON", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\projectCode\online-programming-learning-platform\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\projectCode\online-programming-learning-platform\src\assets\recordStates.ts", "TypeScript", 0, 0, 0, 0, 0, 103, 0, 0, 0, 0, 0, 0, 1, 104
"d:\projectCode\online-programming-learning-platform\src\assets\sliver.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 269, 0, 32, 301
"d:\projectCode\online-programming-learning-platform\src\components\Avatar\MyAvatar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 3, 39
"d:\projectCode\online-programming-learning-platform\src\components\Avatar\style.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 6, 47
"d:\projectCode\online-programming-learning-platform\src\components\Card\ArticleCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 94, 0, 0, 9, 103
"d:\projectCode\online-programming-learning-platform\src\components\Card\ChatMessageCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 2, 4, 27
"d:\projectCode\online-programming-learning-platform\src\components\Card\CommentCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 120, 0, 0, 10, 130
"d:\projectCode\online-programming-learning-platform\src\components\Card\CompetitionCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 3, 8
"d:\projectCode\online-programming-learning-platform\src\components\Card\GeneralCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 142, 0, 1, 7, 150
"d:\projectCode\online-programming-learning-platform\src\components\Card\IMCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 224, 0, 5, 14, 243
"d:\projectCode\online-programming-learning-platform\src\components\Card\NavgationCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 0, 2, 5, 68
"d:\projectCode\online-programming-learning-platform\src\components\Card\PostCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 0, 1, 7, 80
"d:\projectCode\online-programming-learning-platform\src\components\Card\ProblemCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 6, 35
"d:\projectCode\online-programming-learning-platform\src\components\Card\RemarkCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 104, 0, 0, 10, 114
"d:\projectCode\online-programming-learning-platform\src\components\Card\style.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 132, 0, 0, 0, 0, 7, 17, 156
"d:\projectCode\online-programming-learning-platform\src\components\Collapse\MyCollapse.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 4, 28
"d:\projectCode\online-programming-learning-platform\src\components\Community\Comment.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 2, 3, 25
"d:\projectCode\online-programming-learning-platform\src\components\Editor\CodeEditor.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 383, 0, 1, 19, 403
"d:\projectCode\online-programming-learning-platform\src\components\Editor\CodeEditorConfig.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 165, 0, 0, 11, 176
"d:\projectCode\online-programming-learning-platform\src\components\Editor\Highlight.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 5, 27
"d:\projectCode\online-programming-learning-platform\src\components\Editor\LanguageList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 0, 1, 10, 94
"d:\projectCode\online-programming-learning-platform\src\components\Editor\ReadOnly.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 6, 54
"d:\projectCode\online-programming-learning-platform\src\components\Editor\TextEditor.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 0, 1, 11, 97
"d:\projectCode\online-programming-learning-platform\src\components\Editor\ojmap.ts", "TypeScript", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 4, 24
"d:\projectCode\online-programming-learning-platform\src\components\Editor\style.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"d:\projectCode\online-programming-learning-platform\src\components\Editor\types.d.ts", "TypeScript", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 1, 4, 21
"d:\projectCode\online-programming-learning-platform\src\components\Empty\NoData.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 3, 15
"d:\projectCode\online-programming-learning-platform\src\components\Empty\NoPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 3, 8
"d:\projectCode\online-programming-learning-platform\src\components\Empty\NotStart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 3, 15
"d:\projectCode\online-programming-learning-platform\src\components\Empty\StayTuned.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 3, 14
"d:\projectCode\online-programming-learning-platform\src\components\Group\CreateGroupForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 90, 0, 0, 6, 96
"d:\projectCode\online-programming-learning-platform\src\components\Group\GroupInfo.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 112, 0, 3, 7, 122
"d:\projectCode\online-programming-learning-platform\src\components\Group\GroupMember.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 6, 53
"d:\projectCode\online-programming-learning-platform\src\components\Group\style.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"d:\projectCode\online-programming-learning-platform\src\components\Icon\IconFont.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 3, 9
"d:\projectCode\online-programming-learning-platform\src\components\Icon\MySvgIcon.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 3, 27
"d:\projectCode\online-programming-learning-platform\src\components\Label\MyTag.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 5, 37
"d:\projectCode\online-programming-learning-platform\src\components\Label\ProblemLabel\AcPercentLabel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 12, 7, 71
"d:\projectCode\online-programming-learning-platform\src\components\List\IMList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 3, 8
"d:\projectCode\online-programming-learning-platform\src\components\List\LoadMoreList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 99, 0, 1, 9, 109
"d:\projectCode\online-programming-learning-platform\src\components\List\PaginationList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 0, 0, 7, 96
"d:\projectCode\online-programming-learning-platform\src\components\List\RollList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 5, 4, 38
"d:\projectCode\online-programming-learning-platform\src\components\Loading\Loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 3, 13
"d:\projectCode\online-programming-learning-platform\src\components\Navbar\Navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 5, 41
"d:\projectCode\online-programming-learning-platform\src\components\Navbar\PageNav.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 3, 8
"d:\projectCode\online-programming-learning-platform\src\components\Navbar\SubNavbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 0, 7, 8, 84
"d:\projectCode\online-programming-learning-platform\src\components\Problem\Detail\ProblemDetail.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 207, 0, 0, 7, 214
"d:\projectCode\online-programming-learning-platform\src\components\Problem\List\List.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 440, 0, 15, 31, 486
"d:\projectCode\online-programming-learning-platform\src\components\Problem\style.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 87, 0, 0, 0, 0, 4, 12, 103
"d:\projectCode\online-programming-learning-platform\src\components\Problem\table\ProblemTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 0, 53, 18, 326
"d:\projectCode\online-programming-learning-platform\src\components\Rank\GeneralRank.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 93, 0, 0, 4, 97
"d:\projectCode\online-programming-learning-platform\src\components\Rank\style.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 1, 19
"d:\projectCode\online-programming-learning-platform\src\components\Record\Hack.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 5, 41
"d:\projectCode\online-programming-learning-platform\src\components\Record\HackDetail.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 4, 50
"d:\projectCode\online-programming-learning-platform\src\components\Record\RecordLabel.tsx\LanaugeLabel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 3, 11
"d:\projectCode\online-programming-learning-platform\src\components\Record\RecordLabel.tsx\RecordStateLabel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 5, 52
"d:\projectCode\online-programming-learning-platform\src\components\Record\RecordModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 0, 7, 9, 96
"d:\projectCode\online-programming-learning-platform\src\components\Record\RecordTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 387, 0, 0, 21, 408
"d:\projectCode\online-programming-learning-platform\src\components\Record\style.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"d:\projectCode\online-programming-learning-platform\src\components\SideActionBar\SideActionBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 0, 0, 4, 79
"d:\projectCode\online-programming-learning-platform\src\components\SideActionBar\style.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 1, 4, 46
"d:\projectCode\online-programming-learning-platform\src\components\Similarity\Similarity.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 109, 0, 5, 8, 122
"d:\projectCode\online-programming-learning-platform\src\components\User\UserCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 5, 42
"d:\projectCode\online-programming-learning-platform\src\components\User\UserInfo.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 167, 0, 0, 6, 173
"d:\projectCode\online-programming-learning-platform\src\components\User\style.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 7, 45
"d:\projectCode\online-programming-learning-platform\src\components\countDown\CountDown.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 114, 0, 1, 7, 122
"d:\projectCode\online-programming-learning-platform\src\components\directory\Directory.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 12, 5, 56
"d:\projectCode\online-programming-learning-platform\src\components\directory\store.ts", "TypeScript", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 1, 3, 21
"d:\projectCode\online-programming-learning-platform\src\components\error-page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 2, 16
"d:\projectCode\online-programming-learning-platform\src\components\mobile\MobileFooterNavbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 6, 49
"d:\projectCode\online-programming-learning-platform\src\components\mobile\MobileHeaderNavbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 3, 12
"d:\projectCode\online-programming-learning-platform\src\components\modal\RemarkModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 3, 28
"d:\projectCode\online-programming-learning-platform\src\components\table\GeneralTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 5, 73
"d:\projectCode\online-programming-learning-platform\src\components\topic\TopicCollapse.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 144, 0, 0, 9, 153
